Sales_ID,name,year,selling_price,km_driven,State_or_Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region
1,Maruti Swift Dzire VDI,2014,450000,145500,District of Columbia,Washington,1,1,1,0,23.4,1248,74.0,5,1,1
2,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,New York,New York City,1,1,1,2,21.14,1498,103.52,5,1,1
3,Honda City 2017-2020 EXi,2006,158000,140000,Illinois,Chicago,3,1,1,4,17.7,1497,78.0,5,1,0
4,Hyundai i20 Sportz Diesel,2010,225000,127000,Illinois,Chicago,1,1,1,0,23.0,1396,90.0,5,1,0
5,Maruti Swift VXI BSIII,2007,130000,120000,New York,New York City,3,1,1,0,16.1,1298,88.2,5,1,1
6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,New York,New York City,3,1,1,0,20.14,1197,81.86,5,1,1
7,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,California,Los Angeles,2,1,1,0,17.3,1061,57.5,5,1,3
8,Maruti 800 DX BSII,2001,45000,5000,California,Los Angeles,3,1,1,2,16.1,796,37.0,4,1,3
9,Toyota Etios VXD,2011,350000,90000,California,Los Angeles,1,1,1,0,23.59,1364,67.1,5,1,3
10,Ford Figo Diesel Celebration Edition,2013,200000,169000,Texas,Houston,1,1,1,0,20.0,1399,68.1,5,1,0
11,Renault Duster 110PS Diesel RxL,2014,500000,68000,New York,New York City,1,1,1,2,19.01,1461,108.45,5,1,1
12,Maruti Zen LX,2005,92000,100000,Texas,Houston,3,1,1,2,17.3,993,60.0,5,1,0
13,Maruti Swift Dzire VDi,2009,280000,140000,Texas,Houston,1,1,1,2,19.3,1248,73.9,5,1,0
15,Maruti Wagon R LXI Minor,2009,180000,90000,Massachusetts,Boston,3,1,1,2,18.9,1061,67.0,5,1,1
16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Massachusetts,Boston,3,1,1,0,18.15,1198,82.0,5,1,1
17,Maruti Ertiga SHVS VDI,2016,778000,70000,Texas,Dallas,1,1,1,2,24.52,1248,88.5,7,1,0
18,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Texas,Dallas,1,1,1,2,23.0,1396,90.0,5,1,0
19,Maruti Alto LX,2002,150000,80000,Texas,Dallas,3,1,1,2,19.7,796,46.3,5,1,0
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,New York,New York City,1,1,1,0,22.54,1396,88.73,5,1,1
21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,New York,New York City,1,1,1,2,21.0,1461,64.1,5,1,1
22,Honda WR-V i-DTEC VX,2017,950000,50000,New York,New York City,1,1,1,0,25.5,1498,98.6,5,1,1
23,Maruti Swift Dzire ZDI,2015,525000,40000,Texas,Dallas,1,1,1,0,26.59,1248,74.0,5,1,0
24,Maruti SX4 ZDI,2012,600000,72000,New York,New York City,1,1,1,0,21.5,1248,88.8,5,1,1
25,Tata Tigor 2017-2020 XZ,2018,500000,35000,New York,New York City,3,1,1,0,20.3,1199,83.81,5,1,1
26,Maruti Baleno Delta 1.2,2016,575000,45000,California,Los Angeles,3,1,1,0,21.4,1197,83.1,5,1,3
27,Maruti Alto 800 LXI,2017,275000,28000,Washington,Seattle,3,1,1,0,24.7,796,47.3,5,1,3
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Massachusetts,Boston,1,1,1,0,18.2,1248,73.8,7,1,1
